NAME,median_household_income,median_earnings,state,public use microdata area,state_fips,puma_code,puma_full_id
"Monongalia & Preston Counties--Morgantown City PUMA, West Virginia",53681.0,27543.0,54,00300,54,00300,5400300
"Jackson, Wetzel, Roane, Braxton, Ritchie, Tyler, Gilmer & Calhoun Counties PUMA; West Virginia",43971.0,30780.0,54,00600,54,00600,5400600
"Putnam, Boone & Lincoln Counties PUMA; West Virginia",53687.0,36923.0,54,00900,54,00900,5400900
"Cabell, Wayne & Mason Counties--Huntington City PUMA; West Virginia",43505.0,30376.0,54,00800,54,00800,5400800
"Kanawha & Clay Counties--Charleston City PUMA, West Virginia",46385.0,31846.0,54,01000,54,01000,5401000
"Wood, Pleasants & Wirt Counties PUMA; West Virginia",48933.0,31521.0,54,00700,54,00700,5400700
"Raleigh, Mercer & Fayette Counties PUMA; West Virginia",42479.0,29259.0,54,01200,54,01200,5401200
"Harrison, Marion, Taylor & Doddridge Counties PUMA; West Virginia",52422.0,32425.0,54,00200,54,00200,5400200
"Rogers (Central) & Wagoner (West) Counties--Claremore City PUMA, Oklahoma",70834.0,38862.0,40,01301,40,01301,4001301
"Tulsa County (Central)--Tulsa City (Central) PUMA, Oklahoma",53359.0,33754.0,40,01201,40,01201,4001201
"Tulsa County (Southeast)--Tulsa (Southeast) & Broken Arrow (West) Cities PUMA, Oklahoma",66755.0,37210.0,40,01202,40,01202,4001202
"Southeast Oklahoma PUMA, Oklahoma",42132.0,28105.0,40,00300,40,00300,4000300
"Oklahoma County (Northwest)--Oklahoma City (Northwest Central) & Bethany Cities PUMA, Oklahoma",61864.0,37974.0,40,01002,40,01002,4001002
"Oklahoma County (Northeast)--Edmond & Oklahoma City (North Central) Cities PUMA, Oklahoma",80241.0,42138.0,40,01003,40,01003,4001003
"Oklahoma County (Central)--Oklahoma City (Central) PUMA, Oklahoma",51072.0,32841.0,40,01006,40,01006,4001006
"Oklahoma County (East)--Midwest, Del & Oklahoma City (Northeast) Cities PUMA; Oklahoma",54822.0,32399.0,40,01004,40,01004,4001004
"Oklahoma County (Southwest)--Oklahoma City (West Central) PUMA, Oklahoma",43313.0,27628.0,40,01001,40,01001,4001001
"Ocean County (North Central) PUMA, New Jersey",57116.0,33676.0,34,01203,34,01203,3401203
"Cumberland County (South)--Vineland & Millville Cities PUMA, New Jersey",57202.0,29982.0,34,02400,34,02400,3402400
"NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York",60375.0,40571.0,36,04003,36,04003,3604003
"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York",56945.0,38255.0,36,04010,36,04010,3604010
"NYC-Brooklyn Community District 4--Bushwick PUMA, New York",58007.0,35424.0,36,04002,36,04002,3604002
"El Paso County (North Central)--Colorado Springs City (North) & Monument Town PUMA, Colorado",111360.0,50388.0,08,04106,08,04106,0804106
"El Paso County (Central)--Colorado Springs City (East) & Cimarron Hills PUMA, Colorado",79407.0,39006.0,08,04104,08,04104,0804104
"El Paso County (Central)--Colorado Springs City (South) & Security-Widefield PUMA, Colorado",51506.0,29743.0,08,04105,08,04105,0804105
"El Paso County (Central)--Colorado Springs City (Central) PUMA, Colorado",54766.0,30199.0,08,04103,08,04103,0804103
"El Paso County (West Central)--Colorado Springs City (West) PUMA, Colorado",68069.0,38205.0,08,04102,08,04102,0804102
"Arapahoe County (West)--Aurora (Southwest) & Centennial (East) Cities PUMA, Colorado",101446.0,46876.0,08,00808,08,00808,0800808
"Boulder County (Central)--Boulder City PUMA, Colorado",77048.0,30298.0,08,00803,08,00803,0800803
"Detroit City (North Central) PUMA, Michigan",35936.0,26711.0,26,03209,26,03209,2603209
"Wayne County (Central)--Westland, Garden City, Inkster & Wayne Cities PUMA; Michigan",50255.0,31475.0,26,03204,26,03204,2603204
"Wayne County (North Central)--Livonia City & Redford Charter Township PUMA, Michigan",74948.0,41573.0,26,03202,26,03202,2603202
"NYC-Manhattan Community District 8--Upper East Side PUMA, New York",129213.0,87456.0,36,03805,36,03805,3603805
"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",46083.0,48833.0,36,03809,36,03809,3603809
"NYC-Manhattan Community District 11--East Harlem PUMA, New York",33524.0,38621.0,36,03804,36,03804,3603804
"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York",130263.0,91338.0,36,03808,36,03808,3603808
"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA; New York",100497.0,54764.0,36,03901,36,03901,3603901
"Eaton & Clinton Counties PUMA, Michigan",69194.0,38033.0,26,01900,26,01900,2601900
"St. Clair County PUMA, Michigan",58722.0,33189.0,26,03100,26,03100,2603100
"Van Buren & Cass Counties PUMA, Michigan",57124.0,32274.0,26,02300,26,02300,2602300
"Macomb County (Southeast)--Mount Clemens & Fraser Area PUMA, Michigan",59934.0,35801.0,26,03004,26,03004,2603004
"Palm Beach County (Northeast) PUMA, Florida",90526.0,44136.0,12,09901,12,09901,1209901
"Palm Beach County (East)--West Palm Beach City (Southeast) & Palm Beach Town PUMA, Florida",51045.0,30463.0,12,09903,12,09903,1209903
"Palm Beach County (East Central)--Lake Worth City, Lantana Town & Atlantis City PUMA; Florida",55397.0,29090.0,12,09905,12,09905,1209905
"Palm Beach County (East Central)--Greater Boynton Beach City (North) PUMA, Florida",62623.0,33690.0,12,09906,12,09906,1209906
"Hillsborough County (North Central)--Tampa City (North) PUMA, Florida",54001.0,31138.0,12,05705,12,05705,1205705
"Hillsborough County (Northeast) PUMA, Florida",55012.0,32398.0,12,05706,12,05706,1205706
"Hillsborough County (North Central) PUMA, Florida",62700.0,35575.0,12,05704,12,05704,1205704
"Hillsborough County (Central)--Tampa City (Central) PUMA, Florida",37678.0,27151.0,12,05701,12,05701,1205701
"Hillsborough County (Northwest) PUMA, Florida",70646.0,37829.0,12,05703,12,05703,1205703
"Hillsborough County (Central) PUMA, Florida",61144.0,34684.0,12,05707,12,05707,1205707
"Hillsborough County (Southwest)--Tampa City (South) PUMA, Florida",69822.0,43867.0,12,05702,12,05702,1205702
"Hillsborough County (South County) PUMA, Florida",74425.0,39739.0,12,05708,12,05708,1205708
"Seminole County (East) PUMA, Florida",85760.0,41023.0,12,11704,12,11704,1211704
"Seminole County (North Central) PUMA, Florida",64581.0,35650.0,12,11702,12,11702,1211702
"Seminole County (South Central) PUMA, Florida",61844.0,36543.0,12,11703,12,11703,1211703
"Seminole County (West) PUMA, Florida",74597.0,40250.0,12,11701,12,11701,1211701
"Nassau & Baker Counties PUMA, Florida",70440.0,35303.0,12,08900,12,08900,1208900
"Escambia County (North) PUMA, Florida",60630.0,32887.0,12,03301,12,03301,1203301
"Escambia County (South) PUMA, Florida",49528.0,28560.0,12,03302,12,03302,1203302
"Columbia, Levy, Bradford, Gilchrist, Dixie & Union Counties PUMA; Florida",42803.0,28388.0,12,02300,12,02300,1202300
"Alachua County (Outer) PUMA, Florida",64916.0,39519.0,12,00102,12,00102,1200102
"Alachua County (Central)--Gainesville City (Central) PUMA, Florida",40153.0,21558.0,12,00101,12,00101,1200101
"Pasco County (Gulf Coast) PUMA, Florida",40501.0,29123.0,12,10103,12,10103,1210103
"Pasco County (West Central) PUMA, Florida",48230.0,32025.0,12,10102,12,10102,1210102
"Pasco County (South) PUMA, Florida",83659.0,44543.0,12,10104,12,10104,1210104
"Pasco County (East Central) PUMA, Florida",55430.0,32708.0,12,10101,12,10101,1210101
"Lee County (South & West)--Barrier Islands Region PUMA, Florida",59613.0,34528.0,12,07101,12,07101,1207101
"Lee County (Southeast)--Bonita Springs City & Estero (East) PUMA, Florida",77529.0,33892.0,12,07105,12,07105,1207105
"Lee County (Northwest)--Cape Coral City PUMA, Florida",59986.0,32373.0,12,07102,12,07102,1207102
"Lee County (Northeast)--Lehigh Acres & North Fort Myers PUMA, Florida",51795.0,27294.0,12,07103,12,07103,1207103
"Lee County (Central)--Greater Fort Myers City PUMA, Florida",51945.0,30343.0,12,07104,12,07104,1207104
"Marion County (North) PUMA, Florida",43503.0,27152.0,12,08301,12,08301,1208301
"Marion County (South Central) PUMA, Florida",49889.0,27580.0,12,08303,12,08303,1208303
"Marion County (Central)--Ocala City PUMA, Florida",45706.0,31109.0,12,08302,12,08302,1208302
"Wapello, Mahaska, Washington, Jefferson, Keokuk, Davis & Van Buren Counties PUMA; Iowa",52932.0,31594.0,19,02200,19,02200,1902200
"Dubuque, Buchanan, Jackson & Delaware Counties--Dubuque City PUMA; Iowa",64328.0,35423.0,19,00700,19,00700,1900700
"Webster, Hardin, Hamilton, Butler, Wright, Grundy, Franklin & Humboldt Counties PUMA; Iowa",56099.0,34884.0,19,00600,19,00600,1900600
"Polk County (East)--Ankeny & Altoona Cities PUMA, Iowa",84719.0,45916.0,19,01600,19,01600,1901600
"Polk (Southwest) & Dallas (East) Counties--West Des Moines & Urbandale Cities PUMA, Iowa",87025.0,50672.0,19,01500,19,01500,1901500
"Des Moines City PUMA, Iowa",53925.0,33372.0,19,01700,19,01700,1901700
"Wake County (Northeast)--Raleigh City (Northeast), Wake Forest & Rolesville Towns PUMA; North Carolina",89672.0,43626.0,37,01203,37,01203,3701203
"Wake County (Northwest)--Raleigh City (Northwest) & Morrisville Town PUMA, North Carolina",112777.0,61541.0,37,01206,37,01206,3701206
"Cumberland County (Central)--Fayetteville City (Central & East) PUMA, North Carolina",42451.0,28188.0,37,05001,37,05001,3705001
"Onslow County (South)--Jacksonville City PUMA, North Carolina",50975.0,26129.0,37,04500,37,04500,3704500
"Rockingham & Stokes Counties PUMA, North Carolina",47715.0,31782.0,37,00300,37,00300,3700300
"Mecklenburg County (South)--Matthews Town (South) PUMA, North Carolina",90758.0,45546.0,37,03108,37,03108,3703108
"Charlotte City (Southwest) PUMA, North Carolina",65179.0,37698.0,37,03105,37,03105,3703105
"Charlotte City (South) PUMA, North Carolina",102213.0,54993.0,37,03104,37,03104,3703104
"Charlotte City (Northwest) PUMA, North Carolina",42221.0,30387.0,37,03102,37,03102,3703102
"Mecklenburg County (East)--Mint Hill & Matthews (North) Towns PUMA, North Carolina",69730.0,38268.0,37,03107,37,03107,3703107
"Charlotte City (Central) PUMA, North Carolina",62914.0,40405.0,37,03101,37,03101,3703101
"Charlotte City (Northeast) PUMA, North Carolina",48827.0,28297.0,37,03103,37,03103,3703103
"Union County (West)--Indian Trail & Stallings Towns PUMA, North Carolina",104395.0,46175.0,37,05400,37,05400,3705400
"Wake County (Southeast)--Garner (South) & Fuquay-Varina Towns PUMA, North Carolina",79882.0,41491.0,37,01205,37,01205,3701205
"Raleigh City (South & Central) PUMA, North Carolina",61255.0,34691.0,37,01201,37,01201,3701201
"Wake County (West Central)--Cary Town PUMA, North Carolina",94290.0,50184.0,37,01207,37,01207,3701207
"Wake County (Southwest)--Apex & Holly Springs Towns PUMA, North Carolina",119316.0,60942.0,37,01208,37,01208,3701208
"Wake County (East)--Raleigh City (East), Knightdale & Garner (North) Towns PUMA; North Carolina",65928.0,36251.0,37,01204,37,01204,3701204
"Worcester County (South) PUMA, Massachusetts",86398.0,44489.0,25,00304,25,00304,2500304
"Worcester County (Northeast)--Leominster, Fitchburg & Gardner Cities PUMA; Massachusetts",63102.0,37745.0,25,00301,25,00301,2500301
"Worcester County (West Central) PUMA, Massachusetts",87868.0,48591.0,25,00302,25,00302,2500302
"Worcester County (East Central) PUMA, Massachusetts",107378.0,57882.0,25,00303,25,00303,2500303
